passo,valor_central,tempo
0,99.94000000,0.002850
1,99.88004200,0.001324
2,99.82012597,0.001334
3,99.76025187,0.001317
4,99.70041968,0.001332
5,99.64062935,0.001315
6,99.58088087,0.001330
7,99.52117419,0.001318
8,99.46150928,0.001335
9,99.40188612,0.001317
10,99.34230466,0.001336
11,99.28276489,0.001316
12,99.22326675,0.001330
13,99.16381023,0.001317
14,99.10439529,0.001333
15,99.04502190,0.001320
16,98.98569003,0.001331
17,98.92639964,0.001316
18,98.86715071,0.001332
19,98.80794319,0.001319
20,98.74877707,0.001338
21,98.68965230,0.001322
22,98.63056886,0.001333
23,98.57152671,0.001316
24,98.51252582,0.001336
25,98.45356616,0.001320
26,98.39464770,0.001335
27,98.33577040,0.001317
28,98.27693424,0.001330
29,98.21813919,0.001318
30,98.15938520,0.001333
31,98.10067226,0.001319
32,98.04200032,0.001331
33,97.98336936,0.001317
34,97.92477934,0.001331
35,97.86623024,0.001319
36,97.80772201,0.001331
37,97.74925464,0.001310
38,97.69082809,0.001332
39,97.63244232,0.001320
40,97.57409731,0.001337
41,97.51579303,0.001313
42,97.45752944,0.001336
43,97.39930651,0.001318
44,97.34112421,0.001336
45,97.28298251,0.001315
46,97.22488138,0.001335
47,97.16682079,0.001311
48,97.10880070,0.001328
49,97.05082109,0.001315
50,96.99288192,0.001334
51,96.93498316,0.001314
52,96.87712478,0.001338
53,96.81930676,0.001320
54,96.76152905,0.001340
55,96.70379163,0.001317
56,96.64609447,0.001336
57,96.58843754,0.001315
58,96.53082080,0.001332
59,96.47324422,0.001316
60,96.41570778,0.001331
61,96.35821144,0.001313
62,96.30075518,0.001340
63,96.24333895,0.001321
64,96.18596273,0.001337
65,96.12862650,0.001316
66,96.07133021,0.001333
67,96.01407384,0.001316
68,95.95685736,0.001333
69,95.89968073,0.001317
70,95.84254394,0.001340
71,95.78544693,0.001322
72,95.72838969,0.001331
73,95.67137219,0.001321
74,95.61439439,0.001334
75,95.55745626,0.001315
76,95.50055778,0.001333
77,95.44369890,0.001321
78,95.38687962,0.001331
79,95.33009988,0.001318
80,95.27335966,0.001333
81,95.21665893,0.001319
82,95.15999767,0.001328
83,95.10337583,0.001317
84,95.04679340,0.001333
85,94.99025033,0.001315
86,94.93374661,0.001332
87,94.87728219,0.001322
88,94.82085705,0.001330
89,94.76447116,0.001319
90,94.70812449,0.001341
91,94.65181701,0.001318
92,94.59554869,0.001337
93,94.53931949,0.001318
94,94.48312940,0.001334
95,94.42697837,0.001318
96,94.37086638,0.001339
97,94.31479340,0.001324
98,94.25875940,0.001327
99,94.20276435,0.001317
100,94.14680821,0.001338
101,94.09089097,0.001319
102,94.03501258,0.001332
103,93.97917303,0.001316
104,93.92337227,0.001335
105,93.86761029,0.001314
106,93.81188704,0.001334
107,93.75620250,0.001312
108,93.70055665,0.001333
109,93.64494945,0.001316
110,93.58938086,0.001333
111,93.53385087,0.001315
112,93.47835944,0.001333
113,93.42290655,0.001318
114,93.36749216,0.001335
115,93.31211624,0.001316
116,93.25677876,0.001330
117,93.20147970,0.001316
118,93.14621903,0.001333
119,93.09099671,0.001316
120,93.03581272,0.001330
121,92.98066702,0.001314
122,92.92555959,0.001334
123,92.87049040,0.001321
124,92.81545942,0.001335
125,92.76046662,0.001317
126,92.70551198,0.001328
127,92.65059545,0.001313
128,92.59571701,0.001328
129,92.54087664,0.001323
130,92.48607430,0.001334
131,92.43130996,0.001317
132,92.37658361,0.001336
133,92.32189519,0.001322
134,92.26724470,0.001331
135,92.21263209,0.001321
136,92.15805735,0.001334
137,92.10352043,0.001320
138,92.04902132,0.001333
139,91.99455997,0.001316
140,91.94013637,0.001337
141,91.88575049,0.001319
142,91.83140229,0.001334
143,91.77709175,0.001317
144,91.72281884,0.001337
145,91.66858353,0.001326
146,91.61438579,0.001343
147,91.56022559,0.001310
148,91.50610290,0.001331
149,91.45201770,0.001319
150,91.39796995,0.001339
151,91.34395963,0.001319
152,91.28998671,0.001339
153,91.23605116,0.001317
154,91.18215295,0.001334
155,91.12829205,0.001315
156,91.07446844,0.001332
157,91.02068208,0.001315
158,90.96693295,0.001335
159,90.91322102,0.001318
160,90.85954626,0.001333
161,90.80590865,0.001323
162,90.75230814,0.001337
163,90.69874472,0.001319
164,90.64521836,0.001335
165,90.59172903,0.001320
166,90.53827669,0.001333
167,90.48486133,0.001319
168,90.43148292,0.001331
169,90.37814141,0.001266
170,90.32483680,0.001258
171,90.27156904,0.001247
172,90.21833812,0.001259
173,90.16514400,0.001246
174,90.11198665,0.001257
175,90.05886605,0.001245
176,90.00578217,0.001259
177,89.95273497,0.001241
178,89.89972445,0.001261
179,89.84675055,0.001243
180,89.79381326,0.001260
181,89.74091255,0.001243
182,89.68804839,0.001256
183,89.63522076,0.001244
184,89.58242962,0.001264
185,89.52967494,0.001242
186,89.47695671,0.001260
187,89.42427488,0.001240
188,89.37162944,0.001257
189,89.31902036,0.001245
190,89.26644760,0.001255
191,89.21391114,0.001242
192,89.16141096,0.001258
193,89.10894702,0.001243
194,89.05651930,0.001266
195,89.00412777,0.001242
196,88.95177240,0.001256
197,88.89945316,0.001241
198,88.84717003,0.001255
199,88.79492298,0.001241
200,88.74271198,0.001254
201,88.69053701,0.001240
202,88.63839803,0.001258
203,88.58629503,0.001240
204,88.53422796,0.001260
205,88.48219681,0.001244
206,88.43020154,0.001258
207,88.37824214,0.001235
208,88.32631857,0.001261
209,88.27443080,0.001243
210,88.22257881,0.001259
211,88.17076257,0.001244
212,88.11898206,0.001263
213,88.06723724,0.001238
214,88.01552809,0.001260
215,87.96385458,0.001243
216,87.91221669,0.001260
217,87.86061438,0.001242
218,87.80904763,0.001259
219,87.75751642,0.001238
220,87.70602071,0.001258
221,87.65456048,0.001245
222,87.60313571,0.001261
223,87.55174636,0.001248
224,87.50039240,0.001254
225,87.44907382,0.001249
226,87.39779058,0.001256
227,87.34654266,0.001239
228,87.29533003,0.001254
229,87.24415266,0.001241
230,87.19301053,0.001261
231,87.14190361,0.001244
232,87.09083187,0.001252
233,87.03979529,0.001240
234,86.98879384,0.001257
235,86.93782749,0.001241
236,86.88689621,0.001260
237,86.83599999,0.001240
238,86.78513879,0.001258
239,86.73431258,0.001240
240,86.68352134,0.001258
241,86.63276505,0.001243
242,86.58204367,0.001259
243,86.53135718,0.001245
244,86.48070555,0.001261
245,86.43008877,0.001244
246,86.37950679,0.001267
247,86.32895959,0.001244
248,86.27844715,0.001269
249,86.22796944,0.001251
250,86.17752644,0.001270
251,86.12711811,0.001249
252,86.07674443,0.001264
253,86.02640538,0.001246
254,85.97610093,0.001273
255,85.92583105,0.001245
256,85.87559572,0.001266
257,85.82539490,0.001253
258,85.77522858,0.001266
259,85.72509673,0.001247
260,85.67499932,0.001267
261,85.62493632,0.001251
262,85.57490771,0.001274
263,85.52491347,0.001249
264,85.47495356,0.001265
265,85.42502796,0.001248
266,85.37513665,0.001274
267,85.32527959,0.001250
268,85.27545677,0.001268
269,85.22566815,0.001250
270,85.17591371,0.001267
271,85.12619343,0.001244
272,85.07650728,0.001262
273,85.02685522,0.001247
274,84.97723725,0.001275
275,84.92765332,0.001250
276,84.87810343,0.001267
277,84.82858752,0.001249
278,84.77910560,0.001272
279,84.72965762,0.001247
280,84.68024356,0.001268
281,84.63086340,0.001252
282,84.58151710,0.001265
283,84.53220466,0.001246
284,84.48292603,0.001268
285,84.43368119,0.001250
286,84.38447012,0.001263
287,84.33529280,0.001250
288,84.28614918,0.001272
289,84.23703926,0.001257
290,84.18796301,0.001267
291,84.13892039,0.001249
292,84.08991139,0.001270
293,84.04093598,0.001254
294,83.99199413,0.001259
295,83.94308581,0.001247
296,83.89421101,0.001262
297,83.84536970,0.001242
298,83.79656185,0.001259
299,83.74778743,0.001240
300,83.69904642,0.001255
301,83.65033880,0.001244
302,83.60166454,0.001259
303,83.55302361,0.001245
304,83.50441599,0.001259
305,83.45584166,0.001245
306,83.40730058,0.001260
307,83.35879274,0.001244
308,83.31031811,0.001257
309,83.26187666,0.001237
310,83.21346837,0.001256
311,83.16509321,0.001240
312,83.11675116,0.001258
313,83.06844219,0.001239
314,83.02016628,0.001262
315,82.97192340,0.001252
316,82.92371353,0.001261
317,82.87553664,0.001244
318,82.82739271,0.001255
319,82.77928171,0.001238
320,82.73120362,0.001254
321,82.68315842,0.001242
322,82.63514607,0.001253
323,82.58716655,0.001241
324,82.53921984,0.001253
325,82.49130592,0.001233
326,82.44342475,0.001255
327,82.39557632,0.001239
328,82.34776059,0.001259
329,82.29997755,0.001235
330,82.25222717,0.001262
331,82.20450943,0.001243
332,82.15682429,0.001263
333,82.10917174,0.001237
334,82.06155175,0.001259
335,82.01396429,0.001240
336,81.96640935,0.001259
337,81.91888689,0.001237
338,81.87139690,0.001258
339,81.82393934,0.001240
340,81.77651419,0.001254
341,81.72912144,0.001245
342,81.68176105,0.001257
343,81.63443299,0.001242
344,81.58713726,0.001258
345,81.53987381,0.001242
346,81.49264263,0.001253
347,81.44544369,0.001242
348,81.39827697,0.001252
349,81.35114244,0.001237
350,81.30404008,0.001262
351,81.25696986,0.001246
352,81.20993177,0.001259
353,81.16292577,0.001240
354,81.11595184,0.001255
355,81.06900996,0.001240
356,81.02210010,0.001254
357,80.97522224,0.001234
358,80.92837636,0.001263
359,80.88156242,0.001236
360,80.83478041,0.001257
361,80.78803031,0.001240
362,80.74131208,0.001252
363,80.69462570,0.001235
364,80.64797116,0.001255
365,80.60134842,0.001234
366,80.55475747,0.001257
367,80.50819827,0.001243
368,80.46167080,0.001255
369,80.41517505,0.001242
370,80.36871098,0.001255
371,80.32227857,0.001242
372,80.27587780,0.001257
373,80.22950865,0.001237
374,80.18317108,0.001255
375,80.13686509,0.001239
376,80.09059063,0.001262
377,80.04434769,0.001236
378,79.99813625,0.001252
379,79.95195628,0.001239
380,79.90580776,0.001258
381,79.85969066,0.001243
382,79.81360496,0.001263
383,79.76755064,0.001238
384,79.72152767,0.001257
385,79.67553602,0.001247
386,79.62957569,0.001255
387,79.58364663,0.001238
388,79.53774884,0.001261
389,79.49188228,0.001243
390,79.44604692,0.001258
391,79.40024276,0.001234
392,79.35446976,0.001261
393,79.30872790,0.001243
394,79.26301716,0.001257
395,79.21733751,0.001243
396,79.17168893,0.001258
397,79.12607140,0.001244
398,79.08048489,0.001258
399,79.03492938,0.001242
400,78.98940485,0.001256
401,78.94391127,0.001242
402,78.89844862,0.001261
403,78.85301687,0.001243
404,78.80761601,0.001255
405,78.76224601,0.001239
406,78.71690685,0.001257
407,78.67159850,0.001242
408,78.62632093,0.001258
409,78.58107414,0.001238
410,78.53585809,0.001259
411,78.49067276,0.001264
412,78.44551812,0.001272
413,78.40039417,0.001245
414,78.35530086,0.001259
415,78.31023818,0.001238
416,78.26520610,0.001259
417,78.22020461,0.001242
418,78.17523368,0.001257
419,78.13029328,0.001240
420,78.08538339,0.001258
421,78.04050400,0.001242
422,77.99565507,0.001257
423,77.95083659,0.001237
424,77.90604852,0.001260
425,77.86129086,0.001239
426,77.81656357,0.001258
427,77.77186663,0.001243
428,77.72720002,0.001259
429,77.68256372,0.001242
430,77.63795770,0.001255
431,77.59338195,0.001244
432,77.54883643,0.001259
433,77.50432113,0.001241
434,77.45983602,0.001261
435,77.41538108,0.001241
436,77.37095629,0.001261
437,77.32656162,0.001238
438,77.28219705,0.001256
439,77.23786257,0.001238
440,77.19355814,0.001257
441,77.14928374,0.001253
442,77.10503936,0.001259
443,77.06082497,0.001241
444,77.01664054,0.001256
445,76.97248606,0.001235
446,76.92836149,0.001255
447,76.88426683,0.001239
448,76.84020204,0.001264
449,76.79616711,0.001242
450,76.75216201,0.001252
451,76.70818672,0.001237
452,76.66424121,0.001254
453,76.62032547,0.001243
454,76.57643947,0.001257
455,76.53258319,0.001242
456,76.48875661,0.001260
457,76.44495971,0.001239
458,76.40119245,0.001251
459,76.35745483,0.001246
460,76.31374681,0.001254
461,76.27006838,0.001234
462,76.22641951,0.001258
463,76.18280019,0.001237
464,76.13921038,0.001259
465,76.09565008,0.001242
466,76.05211924,0.001255
467,76.00861786,0.001240
468,75.96514591,0.001260
469,75.92170337,0.001239
470,75.87829021,0.001257
471,75.83490642,0.001239
472,75.79155197,0.001255
473,75.74822685,0.001234
474,75.70493102,0.001255
475,75.66166446,0.001243
476,75.61842716,0.001257
477,75.57521910,0.001240
478,75.53204024,0.001260
479,75.48889057,0.001245
480,75.44577007,0.001257
481,75.40267872,0.001251
482,75.35961648,0.001257
483,75.31658335,0.001242
484,75.27357930,0.001254
485,75.23060430,0.001237
486,75.18765834,0.001259
487,75.14474140,0.001241
488,75.10185344,0.001257
489,75.05899446,0.001239
490,75.01616442,0.001263
491,74.97336331,0.001242
492,74.93059111,0.001257
493,74.88784779,0.001239
494,74.84513333,0.001254
495,74.80244771,0.001238
496,74.75979091,0.001257
497,74.71716291,0.001241
498,74.67456368,0.001257
499,74.63199321,0.001240
500,74.58945147,0.001261
501,74.54693844,0.001241
502,74.50445410,0.001253
503,74.46199842,0.001241
504,74.41957140,0.001260
505,74.37717299,0.001237
506,74.33480320,0.001256
507,74.29246198,0.001238
508,74.25014932,0.001262
509,74.20786520,0.001241
510,74.16560960,0.001262
511,74.12338250,0.001242
512,74.08118387,0.001258
513,74.03901369,0.001246
514,73.99687195,0.001262
515,73.95475862,0.001239
516,73.91267368,0.001254
517,73.87061710,0.001236
518,73.82858888,0.001252
519,73.78658898,0.001237
520,73.74461738,0.001253
521,73.70267407,0.001236
522,73.66075902,0.001258
523,73.61887221,0.001244
524,73.57701362,0.001257
525,73.53518323,0.001241
526,73.49338102,0.001260
527,73.45160697,0.001242
528,73.40986105,0.001261
529,73.36814324,0.001243
530,73.32645353,0.001252
531,73.28479190,0.001237
532,73.24315831,0.001255
533,73.20155275,0.001239
534,73.15997521,0.001251
535,73.11842565,0.001243
536,73.07690406,0.001262
537,73.03541042,0.001243
538,72.99394471,0.001261
539,72.95250689,0.001240
540,72.91109697,0.001256
541,72.86971490,0.001245
542,72.82836068,0.001257
543,72.78703428,0.001242
544,72.74573569,0.001259
545,72.70446487,0.001242
546,72.66322181,0.001262
547,72.62200649,0.001239
548,72.58081889,0.001263
549,72.53965898,0.001241
550,72.49852676,0.001255
551,72.45742218,0.001242
552,72.41634525,0.001253
553,72.37529592,0.001244
554,72.33427419,0.001262
555,72.29328004,0.001235
556,72.25231344,0.001262
557,72.21137436,0.001242
558,72.17046281,0.001258
559,72.12957874,0.001235
560,72.08872214,0.001260
561,72.04789299,0.001245
562,72.00709127,0.001260
563,71.96631696,0.001241
564,71.92557004,0.001257
565,71.88485049,0.001242
566,71.84415828,0.001259
567,71.80349340,0.001239
568,71.76285583,0.001267
569,71.72224554,0.001237
570,71.68166252,0.001261
571,71.64110675,0.001241
572,71.60057820,0.001259
573,71.56007686,0.001242
574,71.51960270,0.001259
575,71.47915570,0.001242
576,71.43873585,0.001261
577,71.39834313,0.001248
578,71.35797750,0.001259
579,71.31763896,0.001239
580,71.27732749,0.001259
581,71.23704305,0.001244
582,71.19678564,0.001259
583,71.15655524,0.001244
584,71.11635181,0.001254
585,71.07617535,0.001239
586,71.03602583,0.001258
587,70.99590323,0.001243
588,70.95580753,0.001258
589,70.91573872,0.001243
590,70.87569676,0.001254
591,70.83568165,0.001240
592,70.79569337,0.001260
593,70.75573188,0.001243
594,70.71579718,0.001263
595,70.67588923,0.001240
596,70.63600803,0.001258
597,70.59615356,0.001242
598,70.55632578,0.001257
599,70.51652469,0.001238
600,70.47675026,0.001261
601,70.43700247,0.001243
602,70.39728130,0.001256
603,70.35758674,0.001240
604,70.31791876,0.001258
605,70.27827735,0.001239
606,70.23866247,0.001261
607,70.19907413,0.001238
608,70.15951228,0.001261
609,70.11997692,0.001245
610,70.08046802,0.001259
611,70.04098557,0.001241
612,70.00152955,0.001263
613,69.96209993,0.001243
614,69.92269669,0.001258
615,69.88331983,0.001240
616,69.84396930,0.001256
617,69.80464511,0.001241
618,69.76534722,0.001258
619,69.72607562,0.001240
620,69.68683029,0.001258
621,69.64761121,0.001241
622,69.60841835,0.001256
623,69.56925171,0.001238
624,69.53011126,0.001259
625,69.49099697,0.001240
626,69.45190884,0.001252
627,69.41284684,0.001243
628,69.37381095,0.001256
629,69.33480116,0.001230
630,69.29581743,0.001261
631,69.25685976,0.001242
632,69.21792813,0.001252
633,69.17902251,0.001239
634,69.14014289,0.001256
635,69.10128924,0.001241
636,69.06246156,0.001258
637,69.02365981,0.001240
638,68.98488397,0.001256
639,68.94613404,0.001234
640,68.90740999,0.001257
641,68.86871180,0.001245
642,68.83003945,0.001257
643,68.79139292,0.001241
644,68.75277220,0.001257
645,68.71417726,0.001236
646,68.67560808,0.001262
647,68.63706466,0.001238
648,68.59854695,0.001257
649,68.56005496,0.001237
650,68.52158865,0.001254
651,68.48314802,0.001236
652,68.44473303,0.001255
653,68.40634368,0.001237
654,68.36797993,0.001253
655,68.32964178,0.001240
656,68.29132921,0.001258
657,68.25304219,0.001244
658,68.21478071,0.001264
659,68.17654474,0.001237
660,68.13833427,0.001257
661,68.10014928,0.001239
662,68.06198975,0.001254
663,68.02385567,0.001239
664,67.98574700,0.001258
665,67.94766374,0.001242
666,67.90960587,0.001254
667,67.87157336,0.001238
668,67.83356620,0.001259
669,67.79558437,0.001243
670,67.75762784,0.001258
671,67.71969661,0.001240
672,67.68179065,0.001262
673,67.64390994,0.001251
674,67.60605447,0.001258
675,67.56822422,0.001235
676,67.53041916,0.001256
677,67.49263928,0.001238
678,67.45488456,0.001257
679,67.41715498,0.001247
680,67.37945052,0.001254
681,67.34177117,0.001239
